system_id,sentence
26,金馬獎多個獎項
26,電影月日將搬到大陸上映，因為內含大量暴力場面，已提前刪減部分
26,內容，誰料試映後仍遭到抗議，據傳將進步打上馬賽克，以符合大陸官方的要求
26,/////
26,/////
26,▲周處除三害有不少暴力場面
26,圖種態度電影股份有限公司提供
26,有大陸網友搶先看了試映版，跟台灣上映的原版本比較後，發現電影有部分內容遭到刪減
26,，後半段的暴力畫面經過修改，變得沒有那麼血腥
26,然而陸網傳出消息，各大電影院近日
26,仍收到指示，由於觀眾看完試映後反映尺度太大，因此相關單位緊急重新審核，月
26,日起將替換成新的版本上映
26,/////
26,▲陸網爆料周處除三害在大陸遭兩度刪減
26,圖翻攝自微博
26,目前最新版本尚未公開放映，但有人爆料直接給畫面上了馬賽克處理，簡單而粗暴
26,不少網友抱怨群眾反映尺度太大就受理，那群眾反映尺度不夠受理嗎大陸人民只
26,配看元配打小三和抗日神劇昨天看了試映，畫面明顯有不流暢
26,如果真的上了又回
26,爐重剪，那還上個屁呢，也有人表示不如等串流平台上映完整版
26,////
26,完整新聞連結或短網址不可用等轉載媒體
26,////
26,備註
27,/////
27,_
27,看中國人對這部評價超高
27,豆瓣高達
27,/////
27,_
27,昨天上映天票房就萬
27,網飛也剛好上了
27,請問這部國片能看嗎
28,如題啦
28,阿肥的朋友小胖
28,昨天跟他媽媽去參加個宗教團體活動啦
28,結果吃完那邊的早餐沒多久
28,就突然吐黑水昏倒
28,有人知道是因為吃了什麼才會這樣嗎
28,以上是周處除三害我的電影情節
28,不要報警
29,周處除三害
29,於昨天在對岸上映僅兩天票房已破億台幣
29,更衝上當日電影票房第
29,豆瓣評分也飆破
29,阮經天有這麼威喔
29,有卦嗎
30,備註請放最後面違者新聞文章刪除
30,媒體來源
30,聯合新聞網
30,記者署名
30,記者陳宥菘即時報導
30,完整新聞標題
30,阮經天周處除三害大陸上映天票房達億
30,完整新聞內文
30,由黃精甫執導阮經天主演的周處除三害月日起在中國大陸上映，上映僅天，總票
30,"房已突破人民幣,萬元約新台幣億元，更度站上當日電影票房第"
30,其高票
30,房也讓電影相關話題在社群發酵，包含先前傳出電影大量暴力血腥內容遭刪減，以及金曲
30,台語歌后鄭宜農演唱的主題曲新造的人都引發討論
30,"根據貓眼專業版即時數據，截至日下午點分，周處除三害當日票房已來到,萬"
30,人民幣約新台幣億元，占當日票房占比的
30,僅次於上映第天由張藝謀執
30,導的大陸喜劇電影第二十條
30,周處除三害電影在大陸正式上映前，在豆瓣評分飆至滿分為，不過有網友指
30,出，大陸電影沒有分級，由於片中不少血腥殺戮畫面，先前點映特映的版本已經過修正
30,例如電影後段教堂的處決戲用了置換畫面的方式處理，沒想到公映正式上映後，電
30,影內容又傳出更進步的刪改，戲稱周處除三害已變成周處無害版本
30,不過，有消息傳出電影公映版本直接粗暴地被加上馬賽克，對此，有大陸網友在微博上
30,稱，實際到戲院觀影時，沒有看到相關處理
30,另外，由鄭宜農演唱的電影主題曲新造的人也引發話題
30,不少看完電影的網友表示被歌
30,曲洗腦了，並引用歌詞說，想起飛翔，成為新造的人
30,周處除三害由香港導演黃精甫執導編劇，金馬影帝阮經天領銜主演，袁富華陳以文
30,王淨李李仁謝瓊煖主演
30,電影引用古文典故，結合黑幫復仇犯罪動作暴力美學，
30,在去年第屆金馬獎風光入圍項大獎，包含黃精甫入圍最佳導演剪輯，阮經天入圍最佳
30,男主角，並由洪昰顥順利奪下最佳動作設計
30,"台灣票房累計突破新台幣,萬元"
30,完整新聞連結或短網址不可用等轉載媒體
30,//////
30,備註
30,"看過了真的不錯看,阮經天演的好"
31,難怪台灣越來越多隨機殺人
31,我是沒看這片但看這新聞提到的歌
31,去找來聽歌曲用的電影畫面
31,是對群唱歌的邪教人士個個開槍射殺
31,///
31,這畫面整個就噁心
31,中國人會喜歡完全不意外
32,網飛上了
32,這部超級政治不正確的，有些覺青超恨
32,///
32,_
32,主角是十大通緝要犯
32,裡面有個黑道女密醫的長得很像ㄘㄨㄚˋ
32,專門幫罪犯私下治療，就觸動覺青敏感神經
32,跟主角私下見面的時候，新聞播放運鈔車翻覆，台灣民眾在路上搶灑出來的鈔票
32,就被覺青視為辱台，指出導演是香港人抹黑台灣
32,有天主角親人過世，自己又得絕症想要去自首，
32,結果警局擠滿了上面那堆拿鈔票去自首的民眾
32,主角發現居然自己還沒辦法被警察第眼就認出來
32,所以決定去殺前兩名排行比他高的通緝要犯，要成為台灣第的通緝要犯再死
32,這點就被覺青批評是狼性，我們與惡的距離才是台灣人的深度代表劇情
32,你去翻網路評論都會有幾個怪裡怪氣的覺青在那邊哭這部是抹黑台灣阿
33,那我看周處除三害不就宗教歧視
33,為啥最後詐騙教宗是白蓮教，然後說些金錢無用論之類的空話可以騙到那麼多信徒
33,還能中出高挑妹子
33,雖然最後被周處殲滅了
33,導演是不是在暗示啥東西
33,這部王淨好漂亮，有當年郭采潔的感覺，喔喔大叔戀愛了
34,看完周處除三害
34,結果除了台灣沒有陳桂林
34,其他全部都是台灣進行式啊
34,警察廢到笑
34,通緝犯滿街跑
34,黑道告白式黑的比白的多
34,尤其邪教台灣更是大堆
34,看的當下真的覺得
34,幹這就是台灣阿
34,真的笑死
35,李李仁扮演的超認真警察
35,結果四年過去
35,還是沒升官
