system_id,word,pos
7,沒,D
7,看,VC
7,的,DE
7,趕快,D
7,去,D
7,看,VC
8,只有,Cbb
8,我,Nh
8,看到,VE
8,這,Nep
8,個,Nf
8,嗎,T
8,///,FW
8,周處除三害,Nb
8,上映,VAC
8,了,Di
8,阿老實,Nb
8,說,VE
8,故事線,Na
8,是,SHI
8,會,D
8,想,VE
8,去,D
8,看下,VC
8,畢竟,D
8,麋,Nb
8,先生,Na
8,直,D
8,是,SHI
8,我,Nh
8,的,DE
8,愛團,Na
8,但是,Cbb
8,搞,VK
8,不,D
8,懂,VK
8,為何,D
8,主角,Na
8,會,D
8,選,VC
8,阮經天,Nb
8,這,Nep
8,人,Na
8,欸,I
8,反正,D
8,台灣,Nc
8,藝人,Na
8,就,D
8,很,Dfa
8,妙,VH
8,，,COMMACATEGORY
8,特別,VH
8,喜歡,VK
8,捧,VC
8,中國,Nc
8,他,Nh
8,不,D
8,之前,Nd
8,還,D
8,穿,VC
8,武警,Na
8,制服,Na
8,上,Ncd
8,中國,Nc
8,綜藝,A
8,嗎,T
8,了不起,VH
8,的,DE
8,挑戰,Na
8,片段,Na
8,就,D
8,很,Dfa
8,呵呵,D
8,///,FW
8,除了,P
8,舔,VC
8,共,Nb
8,以外,Ng
8,我,Nh
8,記得,VK
8,他,Nh
8,不,D
8,是,SHI
8,爭議,Na
8,也,D
8,滿多,VH
8,這,Nep
8,部,Nf
8,選,VC
8,他,Nh
8,當,VG
8,主角,Na
8,只,Da
8,能,D
8,說,VE
8,可惜,VH
8,但,Cbb
8,還是,D
8,很多,Neqa
8,人,Na
8,會,D
8,去,D
8,看,VC
8,吧,T
8,畢竟,D
8,台灣人,Na
8,包容度,Na
8,真,D
8,是,SHI
8,高,VH
8,到,P
8,不行,VH
8,說,VE
8,要,D
8,抵制,VC
8,還,D
8,真的,D
8,沒,D
8,看到,VE
8,人,Na
8,抵制,VC
8,欸,I
8,有,V_2
8,卦,Na
9,記者,Na
9,江芷稜,Nb
9,綜合,A
9,報導,VE
9,導演,Na
9,錢人豪,Nb
9,近日,Nd
9,在,P
9,臉書,Na
9,指控,VE
9,某,Nes
9,部,Nf
9,上映,VAC
9,中,Ng
9,電影,Na
9,與,P
9,他,Nh
9,構思,VE
9,的,DE
9,劇本,Na
9,無法,D
9,無天,VH
9,有,V_2
9,相同,VH
9,概念,Na
9,，,COMMACATEGORY
9,甚,Dfa
9,至,P
9,角色,Na
9,名,A
9,劇情,Na
9,對白,Na
9,都,D
